timestamp_s,frame,gripper_x_m,gripper_y_m,gripper_z_m,gripper_qx,gripper_qy,gripper_qz,gripper_qw,probe_x_m,probe_y_m,probe_z_m,probe_qx,probe_qy,probe_qz,probe_qw
1773689892.276475,464317,0.027742,-0.914250,0.069250,-0.034344,-0.018236,-0.032133,-0.998727,0.102782,-0.948147,0.086909,0.011537,0.985623,0.116698,-0.121634
1773689892.286541,464319,0.027752,-0.914263,0.069205,-0.034343,-0.018300,-0.032463,-0.998715,0.102793,-0.948324,0.086464,0.014209,0.985453,0.115931,-0.123454
1773689892.296601,464320,0.027760,-0.914265,0.069225,-0.034367,-0.018220,-0.032395,-0.998718,0.102802,-0.948425,0.086318,0.015062,0.985403,0.115201,-0.124427
1773689892.306662,464322,0.027782,-0.914256,0.069281,-0.034166,-0.017910,-0.031811,-0.998749,0.102815,-0.948538,0.086020,0.016223,0.985279,0.113786,-0.126547
1773689892.326791,464324,0.027799,-0.914242,0.069261,-0.034137,-0.017817,-0.032245,-0.998738,0.102828,-0.948659,0.085606,0.015687,0.985016,0.113058,-0.129285
1773689892.336854,464326,0.027815,-0.914235,0.069255,-0.034425,-0.017810,-0.032344,-0.998725,0.102824,-0.948689,0.085225,0.015989,0.984650,0.113479,-0.131651
1773689892.356977,464328,0.027825,-0.914232,0.069291,-0.034143,-0.017704,-0.032165,-0.998742,0.102793,-0.948608,0.084846,0.016428,0.984264,0.113190,-0.134697
1773689892.367043,464329,0.027822,-0.914231,0.069288,-0.034090,-0.017846,-0.032269,-0.998738,0.102766,-0.948564,0.084624,0.016517,0.984036,0.113154,-0.136370
1773689892.387167,464331,0.027801,-0.914242,0.069263,-0.034254,-0.017887,-0.032199,-0.998734,0.102694,-0.948535,0.084146,0.014879,0.983554,0.113354,-0.139824
1773689892.397230,464332,0.027794,-0.914250,0.069247,-0.034466,-0.017972,-0.032416,-0.998718,0.102656,-0.948526,0.083905,0.014046,0.983110,0.115173,-0.141540
1773689892.407292,464334,0.027779,-0.914250,0.069271,-0.034372,-0.017972,-0.032390,-0.998722,0.102593,-0.948500,0.083492,0.012553,0.982565,0.115639,-0.145038
1773689892.427420,464336,0.027776,-0.914257,0.069287,-0.034207,-0.017917,-0.032188,-0.998736,0.102548,-0.948514,0.083067,0.012233,0.981913,0.116199,-0.148980
1773689892.437482,464338,0.027786,-0.914258,0.069256,-0.034388,-0.018141,-0.032550,-0.998714,0.102514,-0.948588,0.082567,0.012673,0.981350,0.116732,-0.152200
1773689892.457606,464340,0.027794,-0.914245,0.069271,-0.034400,-0.018054,-0.032387,-0.998720,0.102473,-0.948589,0.082085,0.012970,0.980864,0.116411,-0.155516
1773689892.467671,464341,0.027804,-0.914249,0.069285,-0.034199,-0.017945,-0.032151,-0.998737,0.102462,-0.948621,0.081865,0.013114,0.980604,0.116173,-0.157312
1773689892.487797,464343,0.027815,-0.914249,0.069273,-0.034169,-0.017798,-0.032005,-0.998745,0.102430,-0.948685,0.081407,0.014422,0.979815,0.117985,-0.160732
1773689892.497860,464345,0.027817,-0.914250,0.069230,-0.034421,-0.017938,-0.032582,-0.998715,0.102386,-0.948770,0.080907,0.015815,0.979175,0.118523,-0.164070
