timestamp_s,frame,offset_x_m,offset_y_m,rotation_rad,rotation_deg,vel_offset_x_m/s,vel_offset_y_m/s,accel_offset_x_m/s2,accel_offset_y_m/s2,vel_rotation_rad/s,accel_rotation_rad/s2
1773689892.276475,464317,-0.068326,-0.025115,-1.436276,-82.292578,-0.011872,0.011506,0.480604,-0.783696,-0.204622,12.405304
1773689892.286541,464319,-0.068446,-0.024999,-1.412978,-80.957698,-0.007034,0.003618,0.547956,-0.899958,-0.079750,14.197988
1773689892.296601,464320,-0.068468,-0.025042,-1.394554,-79.902060,-0.000844,-0.006605,0.483835,-0.724506,0.081107,11.609332
1773689892.306662,464322,-0.068463,-0.025132,-1.356947,-77.747330,0.002701,-0.010960,0.331032,-0.201284,0.153834,4.156824
1773689892.326791,464324,-0.068320,-0.025434,-1.324544,-75.890769,0.008504,-0.005686,0.092469,0.500934,0.113799,-5.990638
1773689892.336854,464326,-0.068228,-0.025444,-1.306529,-74.858607,0.008450,0.000557,-0.007177,0.457160,0.033385,-5.905721
1773689892.356977,464328,-0.068088,-0.025369,-1.280067,-73.342446,0.008235,0.003187,0.166874,-0.295591,-0.001536,4.621613
1773689892.367043,464329,-0.067999,-0.025340,-1.268347,-72.670946,0.010809,-0.001935,0.257561,-0.382361,0.076994,6.196802
1773689892.387167,464331,-0.067704,-0.025574,-1.241372,-71.125374,0.016067,-0.004540,0.536866,-0.448278,0.137137,8.479400
1773689892.397230,464332,-0.067535,-0.025584,-1.247625,-71.483671,0.022856,-0.010656,0.363838,-0.491782,0.250094,8.264715
1773689892.407292,464334,-0.067244,-0.025788,-1.227223,-70.314711,0.023390,-0.014438,-0.134382,-0.057860,0.303470,0.203845
1773689892.427420,464336,-0.066997,-0.025842,-1.206053,-69.101721,0.013139,-0.002797,-0.291966,0.195038,0.102192,-3.955789
1773689892.437482,464338,-0.066860,-0.025871,-1.190584,-68.215424,0.011294,-0.002763,-0.185671,-0.016845,0.092791,-0.689460
1773689892.457606,464340,-0.066724,-0.025923,-1.164158,-66.701319,0.007463,-0.003918,-0.089413,0.250798,0.088771,-3.704890
1773689892.467671,464341,-0.066645,-0.025969,-1.150852,-65.938939,0.007071,0.000158,-0.019279,0.431970,0.033837,-5.723849
1773689892.487797,464343,-0.066533,-0.025775,-1.147920,-65.770986,0.007473,0.009940,-0.137445,0.017071,-0.092063,-0.935102
1773689892.497860,464345,-0.066448,-0.025674,-1.133490,-64.944201,0.005298,0.007752,-0.203041,-0.191809,-0.074704,1.464904
1773689892.517986,464347,-0.066467,-0.025612,-1.092350,-62.587050,0.001739,0.004922,-0.018856,0.172503,-0.055695,-2.364103
1773689892.528050,464348,-0.066436,-0.025553,-1.093903,-62.676000,0.002344,0.008233,0.049836,0.129192,-0.096137,-1.450686
1773689892.548175,464351,-0.066418,-0.025291,-1.081753,-61.979900,0.002933,0.002789,0.019537,-0.327312,-0.021989,4.397279
1773689892.558240,464352,-0.066378,-0.025314,-1.058380,-60.640719,0.003081,-0.000791,0.151343,-0.453304,0.025858,6.723983
1773689892.578366,464354,-0.066351,-0.025268,-1.041817,-59.691721,0.011626,-0.013842,0.164521,-0.227189,0.240474,3.854609
1773689892.588428,464356,-0.066182,-0.025489,-1.016783,-58.257382,0.011973,-0.014009,-0.189412,0.297032,0.245007,-4.831214
1773689892.598490,464357,-0.066110,-0.025550,-0.998955,-57.235919,0.007815,-0.007865,-0.230903,0.078372,0.143251,-2.183969
1773689892.608555,464358,-0.066025,-0.025647,-0.981603,-56.241727,0.007327,-0.012435,0.171811,-0.611193,0.201099,8.938834
1773689892.628677,464360,-0.065923,-0.026011,-0.917195,-52.551419,0.019644,-0.031054,0.631700,-0.165349,0.509346,5.577765
1773689892.638739,464362,-0.065652,-0.026389,-0.867246,-49.689546,0.026099,-0.028894,-0.004051,0.383327,0.516455,-4.945071
1773689892.658862,464364,-0.065160,-0.026622,-0.879536,-50.393694,0.000039,-0.014394,-0.472035,1.356486,0.189509,-20.307277
1773689892.668923,464365,-0.065283,-0.026781,-0.799062,-45.782891,-0.000570,0.002452,0.703024,1.581904,-0.035220,-17.037716
1773689892.678986,464366,-0.065172,-0.026572,-0.802980,-46.007355,0.014190,0.017440,1.354230,0.787821,-0.153332,-3.098703
1773689892.699108,464369,-0.064759,-0.026353,-0.787607,-45.126578,0.036911,0.005066,-0.824328,-1.027649,0.131878,9.261675
1773689892.709169,464370,-0.064305,-0.026331,-0.861395,-49.354312,0.018790,-0.007349,-1.825913,-1.062705,0.200348,4.263344
1773689892.719231,464372,-0.064381,-0.026501,-0.746548,-42.774066,0.000168,-0.016319,-1.124317,-0.342275,0.217665,-1.563158
1773689892.749414,464375,-0.063679,-0.026946,-0.736898,-42.221130,0.032004,0.023069,-0.063162,0.688452,-0.126872,-9.739983
1773689892.759475,464377,-0.063328,-0.026587,-0.747825,-42.847194,0.027620,0.027928,-0.630415,0.156770,-0.219249,-5.841608
1773689892.779577,464379,-0.063066,-0.026337,-0.755947,-43.312577,0.007131,0.017978,-0.228755,-0.468943,-0.202526,4.941544
1773689892.799687,464381,-0.063041,-0.025864,-0.748491,-42.885348,0.018434,0.009071,0.330334,-0.884289,-0.020475,13.874287
1773689892.809737,464383,-0.062770,-0.025845,-0.753442,-43.169024,0.020590,-0.002033,-0.180250,-0.742115,0.143178,9.118880
1773689892.829842,464385,-0.062615,-0.026043,-0.749216,-42.926932,0.001087,-0.002364,-0.737652,0.137729,0.038337,-6.017613
1773689892.849949,464388,-0.062726,-0.025941,-0.758880,-43.480633,-0.009072,0.003506,-0.357426,0.146116,-0.098804,-3.982205
1773689892.860013,464389,-0.062835,-0.025913,-0.752563,-43.118657,-0.011924,0.004242,-0.317765,0.177807,-0.124583,-4.159760
1773689892.880130,464391,-0.063118,-0.025767,-0.757153,-43.381671,-0.019698,0.012028,-0.035254,-0.049463,-0.272535,0.566903
1773689892.890192,464392,-0.063345,-0.025622,-0.761870,-43.651948,-0.018285,0.009333,0.297573,-0.785642,-0.226965,12.370537
1773689892.900245,464393,-0.063486,-0.025579,-0.773470,-44.316574,-0.013715,-0.003766,0.299602,-1.664129,-0.023845,24.174925
1773689892.910308,464394,-0.063621,-0.025698,-0.781315,-44.766043,-0.012262,-0.024149,0.129996,-1.043724,0.259414,14.698516
1773689892.920360,464396,-0.063733,-0.026064,-0.803008,-46.008974,-0.011100,-0.024782,-0.333424,0.850730,0.272106,-13.379664
1773689892.940485,464397,-0.063954,-0.026092,-0.810981,-46.465762,-0.035901,0.029151,-0.635163,1.194864,-0.587107,-19.123615
1773689892.950537,464399,-0.064440,-0.025646,-0.857516,-49.132072,-0.039287,0.033705,0.018278,-0.035023,-0.660996,0.956789
1773689892.970654,464401,-0.064865,-0.025398,-0.915000,-52.425626,-0.024621,0.013348,0.663983,-1.482914,-0.307286,23.442419
1773689892.980718,464403,-0.065130,-0.025258,-0.970435,-55.601814,-0.018266,-0.003947,0.306593,-0.598803,-0.041862,9.649230
1773689892.990782,464404,-0.065233,-0.025478,-0.984998,-56.436224,-0.018450,0.001296,-0.098577,0.752629,-0.113074,-10.472943
1773689893.010897,464407,-0.065937,-0.024524,-1.083213,-62.063520,-0.023662,0.025749,0.176372,0.103765,-0.460311,-0.382933
1773689893.031011,464409,-0.066185,-0.024442,-1.137096,-65.150791,-0.011355,0.005471,0.232082,-0.565920,-0.128504,8.711585
1773689893.041074,464410,-0.066294,-0.024380,-1.166149,-66.815427,-0.010931,0.002003,-0.076464,-0.630708,-0.080030,8.012032
1773689893.061177,464412,-0.066516,-0.024506,-1.188391,-68.089785,-0.017230,-0.022163,0.068289,0.436099,0.209348,-5.499037
1773689893.071230,464414,-0.066720,-0.024809,-1.201727,-68.853859,-0.014625,-0.009543,0.477461,1.515634,0.054057,-17.702427
1773689893.081296,464415,-0.066810,-0.024697,-1.236321,-70.835947,-0.007618,0.008337,0.448273,1.378360,-0.146865,-15.933266
1773689893.111491,464416,-0.066922,-0.024691,-1.261092,-72.255267,-0.016529,0.013914,-0.026014,-0.485134,-0.263208,6.284306
1773689893.141645,464422,-0.067807,-0.023859,-1.425239,-81.660170,-0.009210,-0.020886,-0.716712,0.617115,0.231555,-11.481625
1773689893.151709,464423,-0.067832,-0.024232,-1.434653,-82.199570,-0.019646,-0.008726,-0.628549,1.132984,0.022323,-17.739708
1773689893.161771,464425,-0.068202,-0.024035,-1.474047,-84.456696,-0.021862,0.001917,0.562784,-0.210034,-0.125489,5.359756
1773689893.171833,464426,-0.068272,-0.024193,-1.493998,-85.599782,-0.008320,-0.012952,0.871338,-1.227435,0.130182,19.950427
1773689893.191961,464428,-0.068495,-0.024340,-1.531048,-87.722598,-0.009887,-0.027578,-0.135489,0.965891,0.311935,-13.225049
1773689893.202025,464430,-0.068589,-0.024720,-1.561857,-89.487836,-0.011540,-0.009340,0.215238,2.315376,0.066856,-28.968506
1773689893.212085,464431,-0.068728,-0.024529,-1.597443,-91.526763,-0.005558,0.019013,0.524252,1.111852,-0.270991,-11.924372
1773689893.222149,464432,-0.068700,-0.024337,-1.705642,-97.726112,-0.000991,0.013021,0.092952,-0.504366,-0.172945,6.930186
1773689893.252340,464435,-0.069064,-0.024486,-1.786086,-102.335181,-0.030869,0.006037,-0.453188,0.191507,-0.218418,-4.348061
1773689893.262401,464437,-0.069438,-0.024389,-1.851344,-106.074222,-0.033630,0.009381,-0.011843,0.131497,-0.271692,-1.567224
1773689893.282505,464439,-0.069973,-0.024213,-1.884943,-107.999254,-0.023320,0.003953,0.127219,0.366342,-0.153445,-3.962469
1773689893.302611,464441,-0.070375,-0.024230,-1.967857,-112.749891,-0.028516,0.024114,-0.133283,0.586619,-0.431066,-7.830932
1773689893.312674,464443,-0.070705,-0.023861,-2.090771,-119.792343,-0.029227,0.027922,0.175250,-0.393980,-0.479766,5.944459
1773689893.332797,464445,-0.071151,-0.023649,-2.217671,-127.063200,-0.015806,-0.011085,-0.929299,0.495294,0.073807,-10.143283
1773689893.342860,464446,-0.071278,-0.023870,-2.272996,-130.233076,-0.033190,0.006146,-1.063244,0.585028,-0.217740,-11.712238
1773689893.352927,464448,-0.071819,-0.023525,-2.458921,-140.885803,-0.037203,0.000682,0.544722,-1.371290,-0.161820,19.578376
1773689893.362989,464449,-0.072027,-0.023855,-2.558152,-146.571300,-0.022235,-0.021448,0.894852,-0.758084,0.176212,13.184611
1773689893.383116,464451,-0.072538,-0.023829,-2.790575,-159.888149,-0.028090,0.021323,-0.885627,0.042495,-0.380148,-3.950924
1773689893.393178,464452,-0.072834,-0.023514,-2.920529,-167.333996,-0.039993,0.011275,-0.613934,-1.374625,-0.300729,14.791650
1773689893.403245,464454,-0.073343,-0.023602,-3.174649,-181.893971,-0.040442,-0.006350,0.370637,-1.095184,-0.082339,15.172390
1773689893.423370,464456,-0.073750,-0.023632,-3.432781,-196.683881,-0.016276,-0.002014,0.267472,-0.608797,-0.039360,8.549729
1773689893.443496,464458,-0.073998,-0.023684,-3.560957,-204.027797,-0.029679,-0.030857,-0.308125,0.329035,0.261812,-5.404583
1773689893.453566,464459,-0.074385,-0.024137,-3.813458,-218.495027,-0.030979,-0.018665,0.464225,1.017223,0.104758,-10.699706
1773689893.463624,464460,-0.074622,-0.024060,-3.930725,-225.213957,-0.020349,-0.010378,0.755827,0.126050,0.046329,1.363837
1773689893.483754,464463,-0.074901,-0.024995,-4.131222,-236.701604,-0.017261,-0.035958,-1.265484,0.147112,0.362770,-7.043890
1773689893.493817,464464,-0.075092,-0.025304,-4.246253,-243.292351,-0.037134,-0.027345,-1.233252,0.890229,0.177369,-15.766471
1773689893.503882,464466,-0.075648,-0.025546,-4.482425,-256.824049,-0.042081,-0.018039,0.582465,0.815877,0.045431,-7.441568
1773689893.513945,464467,-0.075939,-0.025667,-4.599833,-263.551000,-0.025413,-0.010922,1.193558,0.251124,0.027566,1.767470
1773689893.524007,464468,-0.076160,-0.025765,-4.699922,-269.285667,-0.018059,-0.012984,0.363782,-0.130246,0.080994,2.947862
1773689893.544134,464470,-0.076366,-0.026157,-4.815221,-275.891818,-0.025516,-0.012599,-0.274938,0.255882,0.045231,-4.116027
1773689893.554198,464472,-0.076699,-0.026249,-4.917451,-281.749193,-0.027802,-0.008832,-0.065208,0.448057,-0.007965,-5.488990
1773689893.574323,464474,-0.077044,-0.026413,-5.179673,-296.773406,-0.022596,0.003154,0.410280,0.279347,-0.126611,-1.567059
1773689893.584388,464476,-0.077299,-0.026325,-5.209966,-298.509066,-0.017704,0.004374,0.352428,0.182401,-0.120595,-0.666788
1773689893.604515,464477,-0.077348,-0.026415,-5.216250,-298.869120,-0.015991,0.010509,-0.070429,0.782135,-0.184909,-9.271347
1773689893.614582,464479,-0.077577,-0.026234,-5.235025,-299.944860,-0.017483,0.020786,0.360842,0.676869,-0.308837,-6.370143
1773689893.624644,464480,-0.077700,-0.025997,-5.223280,-299.271879,-0.008732,0.024138,0.459163,-0.281922,-0.313193,5.070406
1773689893.634705,464482,-0.077753,-0.025748,-5.037583,-288.632248,-0.008242,0.015115,-0.078873,-0.901786,-0.206816,10.145305
1773689893.654826,464483,-0.078038,-0.025831,-5.266329,-301.738424,-0.014963,-0.003230,0.015912,-0.076973,-0.019901,0.971394
1773689893.664888,464485,-0.078193,-0.025859,-5.290810,-303.141074,-0.013042,0.000196,0.083905,0.507721,-0.051982,-5.517171
1773689893.685004,464487,-0.078362,-0.025734,-5.299703,-303.650599,-0.015658,0.017136,0.142908,-0.205921,-0.256623,2.958367
1773689893.695068,464489,-0.078556,-0.025507,-5.316578,-304.617500,-0.012845,0.009787,0.378435,-0.952432,-0.160736,12.422840
1773689893.715189,464491,-0.078556,-0.025826,-5.365668,-307.430118,-0.001249,-0.018315,0.057510,-0.433808,0.205688,5.175772
1773689893.735311,464493,-0.078607,-0.026244,-5.422919,-310.710351,-0.010532,-0.007669,-0.073404,-0.049156,0.047529,0.262243
1773689893.745373,464495,-0.078753,-0.026255,-5.477083,-313.813766,-0.009319,-0.011073,0.195673,-0.106216,0.091034,1.940283
1773689893.755433,464496,-0.078794,-0.026467,-5.501618,-315.219514,-0.006595,-0.009807,0.157055,-0.002016,0.086580,0.600058
